,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
50,"[-5292.731872891574, 7536.319696580744, 7739.0539298281, 3.2773866071525655, 1.4841555735910814, 1.073504199731886, 7.419692472260319, 6.111074058758797, 0.8791867614535622, -5.801120287406845, -6.315643098652252, 1.298267273775668, 77042.51862047403, 138309.11359834933, -54174.90462644887]","[array([ -71.09052,  179.53503, -191.0732 ]), array([  71.09052, -179.53503,  191.0732 ])]","[array([318931.07480335, 486990.21867766, 690827.47306976]), array([318931.07480335, 486990.21867766, 690827.47306976])]",
51,"[2355.9139441280586, 1094.7572743130368, 7919.335911056467, 2.236989154242647, 2.488086316303193, 3.5663040330176, -3.6607851047421, 4.267861572311739, -5.2191126484108885, 7.502273912594248, 1.5482368625077108, 7.86465474819391, 134105.93776927056, -142511.61655323606, -383573.38823759224]","[array([-162.8744 ,    2.45312, -145.55392]), array([162.8744 ,  -2.45312, 145.55392])]","[array([1147987.27544356,  761530.61056089,  389532.76677133]), array([1147987.27544356,  761530.61056089,  389532.76677133])]",
52,"[-1902.4629471111139, -7918.8474049633605, -2610.8486503114127, 3.1242628749525054, 4.728264468624938, 3.6778175537421074, 3.180883797195424, -4.065285340962339, 2.7993633302716603, 3.2711403621607626, 4.965807932981491, -8.861393804724969, 102303.1375544203, 50840.91224154507, -35600.15523353178]","[array([-159.38689,   54.55544, -154.69106]), array([159.38689, -54.55544, 154.69106])]","[array([1377674.573146  ,   85708.63804011,  555436.86634616]), array([1377674.573146  ,   85708.63804011,  555436.86634616])]",
53,"[-6010.195130411764, 1127.5480576162718, 4487.015244480712, 3.1663618172656562, 0.3762521871777199, 4.870362321592627, -6.623573208770092, 2.4421547098928684, -3.255954528488509, 1.3558322268123142, 6.586955851302481, 4.950786171271886, 3016.91770844275, -16110.670654878602, -371333.0628873725]","[array([-145.77396,  -18.58997, -132.43653]), array([145.77396,  18.58997, 132.43653])]","[array([1256089.90824652,  720638.02127213,   85063.08160717]), array([1256089.90824652,  720638.02127213,   85063.08160717])]",
54,"[-291.6008034916522, -2635.2074966805358, 7665.070755277491, 2.0942835243046387, 1.139593256938644, 3.571340222677319, 7.004495242658038, 0.45471386483810505, 3.8025202872984156, -7.238675406733604, 6.5540447856879425, -11.675930276057212, -149085.82954403572, 72532.90903170037, -236587.50176275667]",0,0,
55,"[-6008.773931615731, -5713.133748128354, -2511.5091152807836, 4.970915167357439, 0.36684189039061543, 0.27063291800454814, -10.748012374931804, -3.2428826178180374, 1.1629762908000458, -4.127921435576388, 4.775697759623437, -10.428819625638479, 147329.91431127337, -73538.91566729198, -26943.08582598035]",0,0,
56,"[6945.995526098981, -7797.583461237571, 9676.538011843826, 4.6333405776375765, 1.2528384942747792, 4.0596506820016796, -9.45519682529951, 8.63811521149741, 1.6413007338349281, 10.637466151879735, -8.084875639571804, -1.8579464583802707, -38651.71701354535, 53725.39827368077, -302799.5981313196]","[array([-133.82252,   28.71512, -141.25209]), array([133.82252, -28.71512, 141.25209])]","[array([1284321.92178239,  641022.81295106,   87978.66833533]), array([1284321.92178239,  641022.81295106,   87978.66833533])]",
57,"[4717.527010997257, 4170.98468510477, -3905.031351377359, 4.907444926465217, 1.1964765497440155, 1.8761760528388975, -0.699857709266702, 12.189356561004221, -1.248939844857416, 1.284360258595889, 4.405120072440305, 1.8860863965504908, -146666.4519108196, 77177.1305957801, -354289.36020478455]","[array([-145.43173,   -6.67751, -180.93389]), array([145.43173,   6.67751, 180.93389])]","[array([1505787.39328376, 1022063.15820592,  626835.69535623]), array([1505787.39328376, 1022063.15820592,  626835.69535623])]",
58,"[-5998.921442817813, 9248.973377345348, 8728.452900618711, 0.28936832698087633, 4.448942184639614, 5.38914728950231, 11.769296068020793, 1.867662568995808, -0.9586722090513149, 8.940031093927608, 6.35256639803557, 0.43181787296442664, 333.9768114759936, -131273.79558025624, -44794.66715899226]","[array([-16.49373, -63.56874, -64.9962 ])]","[array([116744.17547183, 348550.30181219, 310418.47916253])]",
59,"[-2213.297475488527, 1172.8090287287523, -5539.8635837113015, 3.3666919316334787, 4.697016153741402, 5.364268848911696, 0.3997790218364283, 1.0695326046193099, 8.353181201002528, 3.0667278239336557, -4.404460001173714, 7.202401381825425, -149325.75288759655, 50404.20668985596, -57549.23823851725]","[array([-83.78953, -77.35241,  -4.85608])]","[array([434677.93623488, 291772.83671138, 178362.12806385])]",
