,Roots,Unique Roots,Real Roots,Accuracy,Paths,Other Info
60,"[(-0.05144576394373444-0.004014429349256669j), 3.5568933044900803, (-0.8193539584706081-1.5082644502001679j), 4.853961744212375e-15]",[ 0.40148-2.95702j  3.53819-0.00517j -6.30937+3.50512j -0.45094-0.06122j],,"[0.0, 5.218122033236358e-15, 5.3290705182007514e-14, 9.155133597044475e-16]",-,
61,"[(-0.051446878020075915-0.0040157892616151936j), 3.5568990377719767, (-0.8199115799197968-1.5087144893259714j), (-0.0006124021211533431+0.00784557534613748j)]",[ 0.40148+2.95702j  3.53819+0.00517j -6.30937-3.50512j -0.45094+0.06122j],,"[0.0, 5.218122033236358e-15, 5.123796534383003e-14, 9.155133597044475e-16]",-,
62,"[(-0.05144432243048522-0.004012951166531213j), 3.556899021062137, (-0.8187975429888493-1.5078101062001905j), (0.0006303222712147541-0.007829764624506843j)]",[ 2.51719-1.34336j -1.77062-3.06444j  2.4347 -6.67274j  0.20486+0.38387j],,"[2.3832327871173822e-14, 6.3632343309670155e-15, 2.0097183471152322e-14, 1.4043333874306805e-15]",-,
63,"[(-2.4473693340369116-2.0187182054809902j), (-1.7618832103776878+3.0659792018889775j), (7.21669733924839+1.267945767246834j), (0.3078516402402523-0.3732203245164878j)]",[ 2.51719+1.34336j -1.77062+3.06444j  2.4347 +6.67274j  0.20486-0.38387j],,"[3.709141974507642e-14, 6.3632343309670155e-15, 7.418283949015283e-14, 9.930136612989092e-16]",-,
64,"[(-2.511120903494151-1.9072117855573187j), (-1.763275866695546+3.0648861422754368j), (6.007770933569139+1.7657960783292532j), (-0.29084707061898535+0.38294234771517655j)]",[ 2.57441-1.39403j -1.77845-3.08036j  2.31211-6.17694j  0.     +0.j     ],,"[1.2434497875801753e-14, 3.552713678800501e-15, 5.684341886080802e-14, 9.537249792184961e-78]",-,
65,"[(-2.4981971970233743-1.9793911545276912j), (-1.7784466522450313+3.080359960239173j), (6.616476954666967+1.5028528460355033j), -1.0947644252537633e-47]",[ 2.57441+1.39403j -1.77845+3.08036j  2.31211+6.17694j -0.     +0.j     ],,"[1.888293221827313e-14, 3.552713678800501e-15, 8.526512829121202e-14, 1.170357868879636e-76]",-,
66,"[(-3.266567161909474-1.1121042173033358j), (-1.7750131692408702+3.0546376501927557j), (-4.9038443730327375+5.601990756150742j), (0.16959430319961902-0.49814682208662875j)]",[ 2.59565-1.42852j -1.76957-3.06341j  2.1814 -5.61536j -0.21785-0.39583j],,"[3.351623381340333e-14, 2.848430738093266e-15, 1.5888218580782548e-14, 1.1102230246251565e-15]",-,
67,"[(-3.1373334800470514-1.1600050816903054j), (-1.7739680661447284+3.056390777361807j), (-3.3844336331684253+5.570567101757505j), (-0.1768991165363278+0.47843887036379057j)]",[ 2.59565+1.42852j -1.76957+3.06341j  2.1814 +5.61536j -0.21785+0.39583j],,"[4.296434007659337e-14, 2.7420485960113413e-15, 5.123796534383003e-14, 9.155133597044475e-16]",-,
68,"[(-3.225981003658391-1.1448061489391483j), (-1.7784466522450313+3.080359960239173j), (-4.134278079303518+5.584554465930377j), 0.0]",[ 2.88617-2.39027j -1.75526-3.06039j  5.63299+4.69028j -0.36451-0.44014j],,"[6.07087979554246e-14, 3.2023728339893768e-15, 7.105427357601002e-14, 1.7763568394002505e-15]",-,
69,"[(-3.474999330999539-2.0677800611354313j), (-1.7598226036643276+3.049978957983794j), (-2.3252205218143804-5.913690973873473j), (0.3153335030854192-0.5299324298841873j)]",[ 2.88617+2.39027j -1.75526+3.06039j  5.63299-4.69028j -0.36451+0.44014j],,"[3.1776437161565096e-14, 2.8801676090923426e-15, 2.842170943040401e-14, 0.0]",-,
70,"[(-3.5777373148294376-2.1958964861622405j), (-1.7574850147018017+3.0481805719036412j), (-2.6229171129595144-8.079839618417882j), (-0.3348710747381319+0.5455998255371011j)]",[ 2.98472-2.4085j  -1.77845-3.08036j  4.91879+5.28081j  0.     +0.j     ],,"[4.0194366942304644e-14, 3.552713678800501e-15, 2.842170943040401e-14, 5.724274600151233e-48]",-,
71,"[(-3.5539169800650003-2.14749348317558j), (-1.7784466522450313+3.080359960239173j), (-2.488139556506789-6.9801734160055275j), -1.349401336733507e-79]",[ 2.98472+2.4085j  -1.77845+3.08036j  4.91879-5.28081j -0.     +0.j     ],,"[0.0, 7.105427357601002e-15, 2.842170943040401e-14, 9.002066845709559e-47]",-,
72,"[(-2.4981971970233743+1.9793911545276912j), (-1.7784466522450313-3.080359960239173j), (6.616476954666967-1.5028528460355033j), 1.0947644252537633e-47]",[ 3.04057-2.38485j -1.75495-3.05784j  4.1143 +5.84025j  0.36369+0.46368j],,"[3.499017183300205e-14, 4.866020253582432e-15, 1.3796244387938543e-13, 4.440892098500626e-16]",-,
73,"[(-2.4473693340369116+2.0187182054809902j), (-1.7618832103776878-3.0659792018889775j), (7.21669733924839-1.267945767246834j), (0.3078516402402523+0.3732203245164878j)]",[ 3.04057+2.38485j -1.75495+3.05784j  4.1143 -5.84025j  0.36369-0.46368j],,"[4.2780337774645346e-14, 4.866020253582432e-15, 1.2058310082691391e-13, 4.440892098500626e-16]",-,
