,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
73,"[array([1250305.31904043,  588416.08182197,  212968.8750917 ]), array([1250305.31904043,  588416.08182197,  212968.8750917 ])]","[array([-190.07398,   94.37058, -144.11416]), array([190.07398, -94.37058, 144.11416])]",,"[-6053.912906214764, 1058.790030769047, 6641.856569617867, 0.9713746874819884, 0.9935381315066726, 4.604556238472142, -3.446693499476501, 1.0876231786905404, -5.2521570860769025, 8.814955822181414, -3.4225427424283428, 5.561200347401908, 140641.66156206804, 26788.44106456384, -252057.68751591246]"
74,"[array([4801930.99091762, 1116295.67300823,  407103.26175185]), array([4801930.99091762, 1116295.67300823,  407103.26175185])]","[array([-168.89803,  225.25034, -274.1829 ]), array([ 168.89803, -225.25034,  274.1829 ])]",,"[-1164.1839096608746, 3698.571266671035, -8946.522565354308, 5.5891498886585484, 3.9576200953750726, 4.101840856867125, -0.989334886702153, 2.3872130647935936, 4.182096764746676, 6.203023173614454, -9.032699345173247, -8.346415219235574, -68992.20702316286, 119803.07890337118, -391188.8250406745]"
75,0,0,,"[5402.953831664474, -7012.03356156404, -9784.803719994045, 2.389918996746189, 0.5349365076446398, 3.8953275216100267, -2.840488638375268, 7.819270938734132, -3.016261650445644, 11.22966114254071, -3.1302026846512074, -8.39960103195478, -49273.25181532369, -86082.7354444483, -350778.45198462706]"
76,0,0,,"[-6172.132969759898, 426.72898924820583, -1809.84208286771, 3.2085709997558425, 1.0237804061201194, 2.9832369634906057, -12.063346793260099, 2.3175864124781675, 1.6229141390925932, -3.580519055631255, 1.615886472203428, -2.797967008256686, 41970.85529401802, 85281.02190188167, -224637.5740302656]"
77,0,0,,"[2275.864076676493, 4135.690648904787, -5758.909800182876, 3.1122296568490087, 5.810511106019552, 1.2177485004233948, -9.533792808147059, -7.2079323993143, 7.047702198583421, -11.003377832247097, 1.4938889540995568, 3.3444682144339613, -39430.465907501, -104330.51604542063, -78933.04845994385]"
78,0,0,,"[-4298.661429120359, 2902.6390612507876, 1756.6449567388045, 3.0167356860135714, 3.664281779141999, 1.8260380065305146, 1.3616790626816258, -0.29409081994663033, -0.43217212941346084, -11.590640428561176, -9.125834022069077, 3.2794067863239995, 11999.366332094854, 37580.9556119857, -33795.19171620556]"
79,0,0,,"[-4004.4759981753277, -9601.404650785213, -2700.2175386169647, 0.8853410930359172, 0.7741057283691744, 3.028444935157999, -0.8500863087906598, -1.6685396288710042, -0.7368199861343587, -5.243273894517413, -10.696299915253089, -3.4006127907906585, -44964.86437427293, 148958.66561122914, -42885.8413563373]"
80,0,0,,"[-3449.8705617076976, 8644.985036016205, -7210.103734267492, 4.003665828874587, 5.268339902321872, 1.3563893781600989, -2.9681315838736992, 0.1561580666149034, -2.6102253476697728, 1.231688073155592, 4.9827959249080465, -9.942624234407026, 1713.6844524453045, -74251.95641935793, -17616.78500766674]"
81,0,0,,"[-5542.813104940631, -5980.960987325903, 2680.5238076193837, 5.756087475704642, 2.3921156008786175, 0.9899932770231273, 4.405503849728351, -1.3586999205867176, -7.4448110734554795, -8.680896122649669, -6.579311567465515, -1.3185215277511624, -27288.8979199092, -82335.44125408382, -359225.8362243802]"
82,"[array([1623817.35493806,  296743.57267527,  165860.82094463])]","[array([-139.89796,  -60.74019, -164.32264])]",,"[-5258.82036379864, 2989.937376315276, -8218.666404239993, 4.619104356646922, 4.244238946548864, 3.4703488182369773, 4.979675790249875, 3.5668855329545703, 5.873868273555951, 2.2304033669570025, -6.552190527895722, -11.069311660240338, 58269.154450938455, -115278.211973425, -144777.4797186216]"
83,0,0,,"[2867.870715328596, 9662.170154517222, 7152.2379486961, 3.926226956726405, 5.515915121440775, 2.4859553886404444, -10.545903659275401, 12.495291879990837, 9.086981043011537, -9.615442034346694, 5.807435461245689, 3.5686209230644756, 48719.11417311302, 81912.02882775056, -292794.5324561224]"
84,"[array([794688.46012659, 573502.92372953, 133041.73250136]), array([794688.46012659, 573502.92372953, 133041.73250136])]","[array([-127.22309,   23.73064, -266.09733]), array([127.22309, -23.73064, 266.09733])]",,"[-3158.2803741341813, 2528.5364441877828, -6266.156537187524, 3.1816457634911335, 0.5582654550367159, 0.13201170324405107, 12.018250144648668, 5.634197367880283, -0.28907994966657125, 2.835167569686485, -4.447759680690979, 0.7869493933687917, 73009.94162353003, 22618.70227942834, -136701.54197390517]"
85,0,0,,"[2041.4169030799512, 5561.309957467236, 3015.3322649344827, 1.3280167979443949, 4.569553629696295, 2.1922304875729193, -5.343507743089586, -3.5094910034276916, -7.715364346013574, -6.419181242905422, -5.360933961644558, 2.2462553177232216, 139686.4874683646, -144586.05683877022, -84936.38513218908]"
86,0,0,,"[5334.716786089995, 2602.5899218913673, 6066.069186805062, 1.3763418699955754, 3.069326092877773, 0.33275260551476427, -9.058353631399429, -5.508101895432969, -7.889473063090783, 1.8742509213787013, -7.353578459691726, -7.580097992697101, -72589.59610503369, 73145.42747909937, -363991.1606233627]"
87,"[array([1482221.91209325,  656205.37033098,  338383.60476567]), array([1482221.91209325,  656205.37033098,  338383.60476567])]","[array([-177.32331,    2.41023, -181.37347]), array([177.32331,  -2.41023, 181.37347])]",,"[5517.697158912473, -8708.54944384703, 7293.705344410526, 3.014310089497173, 3.0251678672581015, 2.7601495996248953, 6.316174964181943, -4.75165858095864, -2.8077920871326816, 8.418309299575743, -4.112357496730159, 2.142282648387827, 136777.3206136346, -128926.96420659506, -315409.42461728764]"
88,0,0,,"[-3612.1691895888252, -2070.582750620265, -5724.531929905581, 2.90919493842258, 1.5285559225584031, 4.146830345756246, 8.283235964272205, 4.486140319300025, 6.516268559695792, -5.269338958063601, -11.140102274525361, 5.005893172413661, 10107.654012943007, 117636.8249029112, -368943.5267357266]"
89,0,0,,"[9231.844386574703, 1126.4506007431082, -2369.3230713523917, 3.3474847192409354, 4.44304787847232, 5.243579505519477, 10.22630727452125, 7.17271111021317, -0.14419445515474916, 5.5596701581170755, -1.7136463811826737, -8.543244900718836, -56908.90793825456, -116046.07723316937, -186898.96721958765]"
90,"[array([1446917.62216691,  891359.44769373,  719129.20494364]), array([1446917.62216691,  891359.44769373,  719129.20494364])]","[array([-236.93502,  -10.47055, -238.10613]), array([236.93502,  10.47055, 238.10613])]",,"[-8326.5794816829, -3555.340412450696, -2474.309746537242, 1.0492704874852752, 0.5298151772107959, 1.038997478063786, -0.5959654383145523, 6.958378737573817, 10.176952948546525, 0.5329267301355269, 5.105430862382942, -9.065468741220425, -105245.39287796526, 44563.45763438006, -371797.4560814635]"
91,"[array([ 222045.01755349, 1908179.92577241, 1318150.33347829]), array([ 222045.01755349, 1908179.92577241, 1318150.33347829])]","[array([-165.64319, -229.52617,  -21.08289]), array([165.64319, 229.52617,  21.08289])]",,"[-1309.4830954432164, 1629.197572818457, -5896.3174990328325, 5.335976624065762, 1.41385450534219, 3.2455541617423225, -1.9996209132877407, 11.703431480664815, 2.8117287335302574, -1.8993098921851939, 4.492981175558125, -8.674839341720912, -119853.32601548675, -93951.60905214903, -48304.094851341215]"
92,0,0,,"[-2131.502557398977, 7585.645793474883, 2406.804705245331, 3.136987241778465, 1.4210082942163145, 5.679271251820758, -5.828145217727011, -0.6468470592940303, -1.443642329398008, -1.4572183949358575, -6.86349391929895, 2.163374449364138, -44077.06225395635, -74799.52226244628, -241216.01735982762]"
93,"[array([801399.12808284, 169504.67476797, 438892.67609786]), array([801399.12808284, 169504.67476797, 438892.67609786])]","[array([ -67.97917,   79.04196, -134.70181]), array([ 67.97917, -79.04196, 134.70181])]",,"[32.62032645153522, 4830.536725142771, 9600.020066884535, 5.379735261345492, 4.464155080147323, 1.2592877442852244, 0.8325798625958409, 2.6718542096226567, 10.641496819439173, 11.960549294063004, -4.751136392549731, -2.8476836017681695, 117556.68641658116, 25572.483257764048, -204577.79205704064]"
94,0,0,,"[8495.144689092776, 434.2030514191538, -3261.7459524280594, 2.178182819337901, 4.11424225552399, 0.26660150396119536, 5.209529719040148, 3.114216027649178, 11.854585801547714, 0.5454043638856501, -8.799892193699733, 4.375454062059394, 102001.35888041777, 41177.297790132056, -232893.60964852272]"
95,0,0,,"[2303.534471400757, 374.89162893937646, 4053.0634566265926, 2.8300441426765546, 0.3743531334849436, 2.8586563955826665, -11.325412571910832, 11.880900073465877, 8.312253324056076, -3.7185989293146484, 6.027765823275452, 1.5829034826281028, 81216.10105044334, 45723.731061675906, -250119.0839851725]"
96,"[array([185801.33895249, 913836.18769065, 750442.08473233]), array([185801.33895249, 913836.18769065, 750442.08473233])]","[array([-131.8039 ,    4.33132, -255.1939 ]), array([131.8039 ,  -4.33132, 255.1939 ])]",,"[-5569.088039553884, -28.928612917054124, -8597.513179467258, 2.2418464267610902, 4.1808069081675345, 0.10436333566179264, 7.0419859112111745, 9.66533879846909, 9.762978338804423, 9.586866359796762, -8.34109045698871, -6.605733373880161, 27342.54751711141, -1382.0957780377357, -298462.2858344211]"
97,"[array([844184.33241221, 494953.09974588, 627156.71744125]), array([844184.33241221, 494953.09974588, 627156.71744125])]","[array([-123.90593,   27.92684, -124.13988]), array([123.90593, -27.92684, 124.13988])]",,"[-727.3268036651934, -1373.7219263363131, -1493.9412846684208, 2.176207740212338, 4.849313998961531, 2.5015721296490625, 5.525940959894612, 2.259516394617995, 8.928053379077358, 8.365139368618767, 7.211098084392535, -4.128320507460552, 47815.94512014167, 117915.0414355764, -293368.22222796036]"
98,"[array([511162.79687528, 308547.97780209, 173464.62332002]), array([511162.79687528, 308547.97780209, 173464.62332002])]","[array([ -76.42034,   11.23633, -100.23868]), array([ 76.42034, -11.23633, 100.23868])]",,"[-5496.391137553364, 4229.1299259204225, 2915.4059896018025, 4.604948194250765, 1.9057476509195528, 1.7303963578745007, -5.352812869869406, 10.119192435860246, 8.761636002926483, 10.486214513876046, -3.440480234782548, -0.4196795174613879, 38676.267749597464, -8560.604493512772, -214848.61885483834]"
99,"[array([1281244.37262132,  152879.14301438,  343525.59186989]), array([509777.53973835, 214239.4214133 , 280734.50399542]), array([1281244.37262132,  152879.14301438,  343525.59186989])]","[array([-140.57934,  135.15621,  -10.96951]), array([ -60.88057,  -84.68486, -102.59703]), array([ 140.57934, -135.15621,   10.96951])]",,"[8571.711997967228, 2393.7428426864462, 9296.266630600803, 4.086105332733822, 4.338975571238714, 2.7764227384372546, -9.091752661943083, -4.483026101939002, 8.200126391121728, 2.722198886250366, 5.264150156628634, 0.5951048488663524, 67183.00107691495, -113252.22216781584, -136889.60919906333]"
100,"[array([492277.66005048, 282365.97060318, 224137.97457692])]","[array([ -11.19738, -122.74338, -104.21969])]",,"[1060.0428950258774, -9553.229015713145, -9890.679113415823, 3.6392772661247457, 1.3850155939163882, 2.9623348358234765, 3.1868579321270456, 9.799196770009434, 10.5176603179216, 2.7359503234971676, -8.80111515801282, -6.498423021669921, 8274.757560188009, -148977.36765688277, -38268.93650957948]"
101,"[array([ 57601.0413229 , 305981.56070248, 264687.14131214]), array([ 57601.0413229 , 305981.56070248, 264687.14131214])]","[array([-59.31518,  45.79862, -47.12711]), array([ 59.31518, -45.79862,  47.12711])]",,"[-1390.50234596691, -5306.626149613878, -1287.570082311111, 5.46672193537947, 4.350374748492628, 4.137308806482688, -8.018034084656602, 12.26719118532819, 11.006119834010782, 2.1414122754341705, -2.3518513651361896, 1.3733853633170199, 21803.339095514704, 20958.916030761815, -117324.2645309954]"
102,0,0,,"[9068.62403570846, -6021.4575812553385, -199.22348773803787, 2.8271076065787644, 0.705703147867218, 4.0831780936051425, -12.347583668290449, -4.687397868717327, 4.779985195257964, 1.254327371330323, -11.208832796786481, 0.8950331684926205, 92978.48589586123, 47587.73062092022, -319943.3689788441]"
103,0,0,,"[6378.314573742295, -7300.044008355038, 2885.75715936489, 5.014919174604797, 0.4139964074291729, 5.967296821912589, -2.6333366451576374, 6.726643935774987, -7.49824282823767, -11.349672466708741, -1.1194945908155667, -5.838030498750402, 65850.30186779497, -38079.46660103857, -278834.2459712051]"
104,0,0,,"[6332.815665499327, -6518.8883050216355, 4455.138401898666, 4.851897664344997, 2.374734759169037, 3.0928492584299088, -5.585345999170018, 3.8200381798731637, 4.4251939541822, 8.062162311870345, -11.051298159533378, 1.7738298059317756, 41140.33712259497, 69807.07594933527, -357896.96434398764]"
105,"[array([ 594911.99995386, 5279850.09082303, 3000480.18408294])]","[array([-300.47624,  -20.35853, -275.48145])]",,"[-4690.074090516805, -9410.176990380052, 6050.469839858351, 3.3067165181454308, 0.7236632329526641, 4.743276746073844, 3.9310133350281085, 7.921545031991995, -0.379580817438141, 5.947904390494031, -0.11143816226329584, -5.730217695122983, -147128.3837824041, -60436.234801288825, -299357.2078685494]"
106,0,0,,"[7709.474457249395, 1900.3925900532904, -4060.598766897847, 2.3326621161243875, 0.722615805532711, 0.3036999649553167, -11.330325205827458, 4.9044519762488115, 0.5568107035852492, -8.930707953046188, -2.8961391001594663, -5.167630131356308, -110368.42922434362, -100767.60365337765, -181206.0161581264]"
107,"[array([706916.24220467, 203554.2759828 ,  32384.12794519]), array([469889.481751  , 156929.81027551, 277525.82304203]), array([469889.481751  , 156929.81027551, 277525.82304203]), array([706916.24220467, 203554.2759828 ,  32384.12794519])]","[array([-81.40364,  20.33289, -93.9026 ]), array([-40.55295, -93.08311,  71.79907]), array([ 40.55295,  93.08311, -71.79907]), array([ 81.40364, -20.33289,  93.9026 ])]",,"[-6179.993328569526, 7498.631233339631, 5695.849374179648, 5.230577674615289, 3.7527913348073, 5.041289512773025, 1.092729109827948, 4.754558202517176, -1.9672678741178808, 4.714748524700674, -2.9993465192528213, -2.088216283387357, -122886.04798177048, 127993.9631057608, -99674.62069023168]"
108,"[array([ 47119.91599191, 116621.65797574, 104956.48232969])]","[array([-11.94513, -50.6179 , -52.79731])]",,"[1223.2328916254592, -3046.6776523283797, -4226.080034735973, 5.155258486417659, 1.6100003653679045, 1.9963625885661935, -5.940480775753969, 12.189343410128604, 10.09985699612216, 12.013854843709709, -6.508047846507498, -3.6414889007334406, 15522.002470919368, -57200.90434616055, -30180.878696517437]"
109,0,0,,"[9517.944106120915, -9810.198179502951, 3967.493786534078, 5.176969128141809, 3.5589626615732697, 1.4637554368703372, 1.084372078150654, 8.95011668738075, -4.25815009949394, 7.796696312247629, -7.719352696774048, -4.860848742524179, 105932.36552413733, 59717.21863798844, -22055.46617296734]"
110,"[array([  86016.82238362, 2294630.44644898, 2943204.07057854]), array([  86016.82238362, 2294630.44644898, 2943204.07057854])]","[array([-254.07572,   17.1483 , -211.0693 ]), array([254.07572, -17.1483 , 211.0693 ])]",,"[2534.994429786242, -9361.629928334807, -6039.624908355448, 1.8287358806198881, 3.150109109405566, 3.7719499067926234, 8.126562767912429, 9.617216967488261, -7.153463964649984, 6.62479403025678, 1.5086479868407192, 2.3085720018323563, 91757.1961270448, 126642.1754039849, -45673.77626571059]"
111,0,0,,"[-897.4903507847994, 7604.695280927426, 4468.51051036794, 1.0242428180139125, 3.990987180729407, 0.3729054181201512, 4.311265455745389, 7.220481151756486, 6.121853489951901, -10.044637461915936, 2.678185641372199, 3.928949182992792, 45149.52672071071, 13537.55580389459, -158280.26117916187]"
112,0,0,,"[6794.944799772518, 6255.569435301159, -6708.850964297031, 5.149299291826413, 4.314784245652324, 1.6514604218317275, -1.4477196385857933, -7.790067014543113, 3.201966787127448, 2.056768899121728, -4.899994126793842, -10.25333279035846, -103077.1930361739, -28614.3759675881, -284956.47426526883]"
113,0,0,,"[5447.1044278324625, 9444.001040524076, 6571.809149259214, 1.785416103506733, 3.7750311098108944, 5.567849053467797, -6.605351684893465, 7.372168381328311, -7.344968228735529, -7.549699020470221, -11.845370343376306, 2.152630453577478, 149426.58628576138, 19940.859133795282, -143954.20395537687]"
